# vsim -do "do ../scripts/run.do fifo_tb 1ms work" 
# Start time: 02:06:06 on May 13,2026
# ** Note: (vsim-3812) Design is being optimized...
# 
# Loading sv_std.std
# Loading work.fifo_tb(fast)
# Loading work.async_fifo(fast)
# Loading work.sync_gray(fast)
# Loading work.write_pointer(fast)
# Loading work.read_pointer(fast)
# Loading work.dual_port_ram(fast)
# --- Test Case: Writing until Full ---
# [WRITE] Time=                 100, Data=24
# [WRITE] Time=                 120, Data=81
# [WRITE] Time=                 140, Data=09
# [WRITE] Time=                 160, Data=63
# [WRITE] Time=                 180, Data=0d
# [WRITE] Time=                 200, Data=8d
# [WRITE] Time=                 220, Data=65
# [WRITE] Time=                 240, Data=12
# [WRITE] Time=                 260, Data=01
# [WRITE] Time=                 280, Data=0d
# [WRITE] Time=                 300, Data=76
# [WRITE] Time=                 320, Data=3d
# [WRITE] Time=                 340, Data=ed
# [WRITE] Time=                 360, Data=8c
# [WRITE] Time=                 380, Data=f9
# [WRITE] Time=                 400, Data=c6
# Status: FIFO is FULL as expected.
# --- Test Case: Reading until Empty ---
# [READ]  Time=                 630, Data=24
# [READ]  Time=                 636, Data=81
# [READ]  Time=                 642, Data=09
# [READ]  Time=                 648, Data=63
# [READ]  Time=                 654, Data=0d
# [READ]  Time=                 660, Data=8d
# [READ]  Time=                 666, Data=65
# [READ]  Time=                 672, Data=12
# [READ]  Time=                 678, Data=01
# [READ]  Time=                 684, Data=0d
# [READ]  Time=                 690, Data=76
# [READ]  Time=                 696, Data=3d
# [READ]  Time=                 702, Data=ed
# [READ]  Time=                 708, Data=8c
# [READ]  Time=                 714, Data=f9
# [READ]  Time=                 720, Data=c6
# Status: FIFO is EMPTY as expected.
# --- Test Case: Simultaneous Read/Write ---
# [READ]  Time=                 930, Data=c5
# [READ]  Time=                 948, Data=aa
# [READ]  Time=                 966, Data=e5
# [READ]  Time=                 990, Data=77
# [READ]  Time=                1008, Data=12
# [READ]  Time=                1026, Data=8f
# Simulation Finished.
# ** Note: $finish    : ../../tb/fifo_tb.sv(127)
#    Time: 1660 ns  Iteration: 0  Instance: /fifo_tb
# 1
# Break in Module fifo_tb at ../../tb/fifo_tb.sv line 127
add wave -position insertpoint sim:/fifo_tb/async_fifo_inst/*
# Causality operation skipped due to absence of debug database file
restart
# ** Note: (vsim-8009) Loading existing optimized design _opt
# 
# Loading sv_std.std
# Loading work.fifo_tb(fast)
# Loading work.async_fifo(fast)
# Loading work.sync_gray(fast)
# Loading work.write_pointer(fast)
# Loading work.read_pointer(fast)
# Loading work.dual_port_ram(fast)
run -continue
# --- Test Case: Writing until Full ---
# [WRITE] Time=                 100, Data=24
# [WRITE] Time=                 120, Data=81
# [WRITE] Time=                 140, Data=09
# [WRITE] Time=                 160, Data=63
# [WRITE] Time=                 180, Data=0d
# [WRITE] Time=                 200, Data=8d
# [WRITE] Time=                 220, Data=65
# [WRITE] Time=                 240, Data=12
# [WRITE] Time=                 260, Data=01
# [WRITE] Time=                 280, Data=0d
# [WRITE] Time=                 300, Data=76
# [WRITE] Time=                 320, Data=3d
# [WRITE] Time=                 340, Data=ed
# [WRITE] Time=                 360, Data=8c
# [WRITE] Time=                 380, Data=f9
# [WRITE] Time=                 400, Data=c6
# Status: FIFO is FULL as expected.
# --- Test Case: Reading until Empty ---
# [READ]  Time=                 630, Data=24
# [READ]  Time=                 636, Data=81
# [READ]  Time=                 642, Data=09
# [READ]  Time=                 648, Data=63
# [READ]  Time=                 654, Data=0d
# [READ]  Time=                 660, Data=8d
# [READ]  Time=                 666, Data=65
# [READ]  Time=                 672, Data=12
# [READ]  Time=                 678, Data=01
# [READ]  Time=                 684, Data=0d
# [READ]  Time=                 690, Data=76
# [READ]  Time=                 696, Data=3d
# [READ]  Time=                 702, Data=ed
# [READ]  Time=                 708, Data=8c
# [READ]  Time=                 714, Data=f9
# [READ]  Time=                 720, Data=c6
# Status: FIFO is EMPTY as expected.
# --- Test Case: Simultaneous Read/Write ---
# [READ]  Time=                 930, Data=c5
# [READ]  Time=                 948, Data=aa
# [READ]  Time=                 966, Data=e5
# [READ]  Time=                 990, Data=77
# [READ]  Time=                1008, Data=12
# [READ]  Time=                1026, Data=8f
# Simulation Finished.
# ** Note: $finish    : ../../tb/fifo_tb.sv(127)
#    Time: 1660 ns  Iteration: 0  Instance: /fifo_tb
# End time: 02:10:54 on May 13,2026, Elapsed time: 0:04:48
# Errors: 0, Warnings: 0
